Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Project url,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Labels,Description,Environment,Watchers,Watchers,Watchers Id,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Attachment,Custom field (Actual end),Custom field (Actual start),Custom field (Atlas project key),Custom field (Atlas project status),Custom field (Category),Custom field (Change reason),Custom field (Change risk),Custom field (Change type),Custom field (Compass),Custom field (Development),Custom field (Epic Color),Custom field (Epic Link),Epic Link Summary,Custom field (Epic Name),Custom field (Epic Status),Custom field (Impact),Custom field (Issue color),Custom field (Locked forms),Custom field (Open forms),Custom field (Rank),Custom field (Request Type),Custom field (Reviewer),Custom field (Reviewer)Id,Sprint,Sprint,Custom field (Start date),Custom field (Story Points),Custom field (Story point estimate),Custom field (Submitted forms),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Total forms),Custom field ([CHART] Date of First Response),Comment1,Comment2,Parent,Parent summary,Status Category
バックエンド環境構築相談,AT-291,10313,Task,Done,AT,ATOMONO,software,satoshi.hirata,63987e6af78d12c0f47112a9,,,Medium,Done,HibikiMizuno,62d6d768657fc166e26036e9,HibikiMizuno,62d6d768657fc166e26036e9,HibikiMizuno,62d6d768657fc166e26036e9,13/Jun/23 10:26 PM,10/Oct/23 5:33 AM,21/Dec/23 9:50 PM,10/Oct/23 5:33 AM,,0,,migrationされてる？コンテナ同士で接続できてない問題があるかも,,HibikiMizuno,satoshi.hirata,62d6d768657fc166e26036e9,63987e6af78d12c0f47112a9,,,,,,,,,,,,,,,,,,,{},,,,,,,,,,0|i001rz:,,,,,,,,,,,,,,,,,,,Done
BE: 所持品リストを保存するモデルを作成する,AT-323,10345,Task,Done,AT,ATOMONO,software,satoshi.hirata,63987e6af78d12c0f47112a9,,,Medium,Done,satoshi.hirata,63987e6af78d12c0f47112a9,Dai Miyahara,712020:018c35d4-6ec5-41ac-a897-9037924f51e7,Dai Miyahara,712020:018c35d4-6ec5-41ac-a897-9037924f51e7,14/Jun/23 1:12 AM,10/Oct/23 7:10 PM,21/Dec/23 9:50 PM,07/Oct/23 8:10 PM,,0,Backend,,,Dai Miyahara,,712020:018c35d4-6ec5-41ac-a897-9037924f51e7,,,,,,,,,,,,,,,,,,,,{},,AT-269,ユーザーが自分の所持品（愛用品）の情報をリストに保存できること【所持品リスト】,,,,,,,0|i001za:,,,,10/10まで,,,3.0,,,,,,,,,,10291,ユーザーが自分の所持品（愛用品）の情報をリストに保存できること【所持品リスト】,Done
ヘッダー(検索なし),AT-473,10495,Task,Done,AT,ATOMONO,software,satoshi.hirata,63987e6af78d12c0f47112a9,,,Medium,Done,鈴木真希,712020:0a83f6c8-7964-448e-bde0-fc65c55240bc,HibikiMizuno,62d6d768657fc166e26036e9,HibikiMizuno,62d6d768657fc166e26036e9,08/Sep/23 11:51 PM,10/Oct/23 5:14 AM,21/Dec/23 9:50 PM,09/Oct/23 5:06 PM,,0,,"!スクリーンショット 2023-09-09 14.24.25.png|width=422,height=812!

ヘッダー部分を作成",,HibikiMizuno,,62d6d768657fc166e26036e9,,,,,,,,,,09/Sep/23 2:24 PM;62d6d768657fc166e26036e9;スクリーンショット 2023-09-09 14.24.25.png;https://chubachi-pt-2023.atlassian.net/rest/api/3/attachment/content/10025,,,,,,,,,,{},,AT-460,ユーザーがモバイル端末でアトモノを利用できること【レスポンシブ対応】,,,,,,,0|i002p3:,,,,,,,3.0,,,,,,,,,,10482,ユーザーがモバイル端末でアトモノを利用できること【レスポンシブ対応】,Done
フッターメニュー コンポーネント,AT-475,10497,Task,Done,AT,ATOMONO,software,satoshi.hirata,63987e6af78d12c0f47112a9,,,Medium,Done,HibikiMizuno,62d6d768657fc166e26036e9,HibikiMizuno,62d6d768657fc166e26036e9,HibikiMizuno,62d6d768657fc166e26036e9,09/Sep/23 2:23 PM,10/Oct/23 10:05 PM,21/Dec/23 9:50 PM,10/Oct/23 10:05 PM,,0,,[https://github.com/chubachi-pt-2023/atomono-front/pull/53|https://github.com/chubachi-pt-2023/atomono-front/pull/53|smart-link] ,,HibikiMizuno,,62d6d768657fc166e26036e9,,,,,,,,,,,,,,,,,,,,{},,AT-460,ユーザーがモバイル端末でアトモノを利用できること【レスポンシブ対応】,,,,,,,0|i002qg:p,,,,10/10まで,,,3.0,,,,,,,,,,10482,ユーザーがモバイル端末でアトモノを利用できること【レスポンシブ対応】,Done
現状のスキーマファイルの修正(componentの利用など),AT-477,10499,Sub-task,Done,AT,ATOMONO,software,satoshi.hirata,63987e6af78d12c0f47112a9,,,Medium,Done,,,HibikiMizuno,62d6d768657fc166e26036e9,HibikiMizuno,62d6d768657fc166e26036e9,10/Sep/23 3:28 PM,10/Oct/23 5:25 AM,21/Dec/23 9:50 PM,10/Oct/23 5:25 AM,,0,,,,HibikiMizuno,,62d6d768657fc166e26036e9,,,,,,,,,,,,,,,,,,,,{},,,,,,,,,,0|i002pz:,,,,10/10まで,,,,,,,,,,,,,10536,Swaggerはフロントエンドに置くように変更,Done
BE: ユーザの所持品リスト一覧を取得するAPIを作成する,AT-489,10511,Task,Done,AT,ATOMONO,software,satoshi.hirata,63987e6af78d12c0f47112a9,,,Medium,Done,satoshi.hirata,63987e6af78d12c0f47112a9,satoshi.hirata,63987e6af78d12c0f47112a9,satoshi.hirata,63987e6af78d12c0f47112a9,24/Sep/23 2:43 AM,10/Oct/23 7:10 PM,21/Dec/23 9:50 PM,10/Oct/23 3:00 AM,,0,Backend,,,satoshi.hirata,,63987e6af78d12c0f47112a9,,,,,,,,,,,,,,,,,,,,{},,AT-269,ユーザーが自分の所持品（愛用品）の情報をリストに保存できること【所持品リスト】,,,,purple,,,0|i001z9:i,,,,10/10まで,,,5.0,,,,,,,,"24/Sep/23 2:44 AM;63987e6af78d12c0f47112a9;{{Users::Has:ProductsController }}

action: index

後続タスクで実装する他のactionもスケルトンクラスとして先行実装する",,10291,ユーザーが自分の所持品（愛用品）の情報をリストに保存できること【所持品リスト】,Done
ブレイクポイントの決定(Section使用),AT-504,10526,Task,Done,AT,ATOMONO,software,satoshi.hirata,63987e6af78d12c0f47112a9,,,Medium,Done,HibikiMizuno,62d6d768657fc166e26036e9,HibikiMizuno,62d6d768657fc166e26036e9,HibikiMizuno,62d6d768657fc166e26036e9,03/Oct/23 8:55 PM,10/Oct/23 5:29 AM,21/Dec/23 9:50 PM,10/Oct/23 5:29 AM,,0,,"まずはPC or mobileだけでいい



実装はしなくて良くて、brakepointを決めてFigmaに起こそう",,HibikiMizuno,,62d6d768657fc166e26036e9,,,,,,,,,,,,,,,,,,,,{},,AT-460,ユーザーがモバイル端末でアトモノを利用できること【レスポンシブ対応】,,,,,,,0|i002qg:wi,,,,10/10まで,,,1.0,,,,,,,,,,10482,ユーザーがモバイル端末でアトモノを利用できること【レスポンシブ対応】,Done
FE: モック作成,AT-507,10529,Task,Done,AT,ATOMONO,software,satoshi.hirata,63987e6af78d12c0f47112a9,,,Medium,Done,HibikiMizuno,62d6d768657fc166e26036e9,HibikiMizuno,62d6d768657fc166e26036e9,HibikiMizuno,62d6d768657fc166e26036e9,04/Oct/23 12:26 AM,10/Oct/23 7:06 PM,21/Dec/23 9:50 PM,10/Oct/23 7:06 PM,,0,,,,HibikiMizuno,,62d6d768657fc166e26036e9,,,,,,,,,,,,,,,,,,,,{},,AT-269,ユーザーが自分の所持品（愛用品）の情報をリストに保存できること【所持品リスト】,,,,purple,,,0|i002qg:t,,,,10/10まで,,,5.0,,,,,,,,,,10291,ユーザーが自分の所持品（愛用品）の情報をリストに保存できること【所持品リスト】,Done
プロジェクト計画書作成,AT-508,10530,Task,Done,AT,ATOMONO,software,satoshi.hirata,63987e6af78d12c0f47112a9,,,Medium,Done,Ohno Hiroto,712020:dd08bf27-e5e5-463e-aa50-9c3deb52bc14,Ohno Hiroto,712020:dd08bf27-e5e5-463e-aa50-9c3deb52bc14,Ohno Hiroto,712020:dd08bf27-e5e5-463e-aa50-9c3deb52bc14,04/Oct/23 12:31 AM,15/Oct/23 7:21 PM,21/Dec/23 9:50 PM,15/Oct/23 7:21 PM,,0,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,,,,0|i002tr:,,,,10/10まで,10/17まで,,1.0,,,,,,,,,,,,Done
DELETE(優先度低),AT-510,10532,Sub-task,Done,AT,ATOMONO,software,satoshi.hirata,63987e6af78d12c0f47112a9,,,Medium,Done,HibikiMizuno,62d6d768657fc166e26036e9,HibikiMizuno,62d6d768657fc166e26036e9,HibikiMizuno,62d6d768657fc166e26036e9,05/Oct/23 1:03 AM,10/Oct/23 10:07 PM,21/Dec/23 9:50 PM,10/Oct/23 10:07 PM,,0,,,,HibikiMizuno,,62d6d768657fc166e26036e9,,,,,,,,,,,,,,,,,,,,{},,,,,,,,,,0|i002u7:,,,,10/10まで,,,,,,,,,,,,,10529,FE: モック作成,Done
PATCH(優先度低),AT-511,10533,Sub-task,Done,AT,ATOMONO,software,satoshi.hirata,63987e6af78d12c0f47112a9,,,Medium,Done,,,HibikiMizuno,62d6d768657fc166e26036e9,HibikiMizuno,62d6d768657fc166e26036e9,05/Oct/23 1:03 AM,10/Oct/23 10:07 PM,21/Dec/23 9:50 PM,10/Oct/23 10:07 PM,,0,,,,HibikiMizuno,,62d6d768657fc166e26036e9,,,,,,,,,,,,,,,,,,,,{},,,,,,,,,,0|i002uf:,,,,10/10まで,,,,,,,,,,,,,10529,FE: モック作成,Done
Swaggerはフロントエンドに置くように変更,AT-514,10536,Task,Done,AT,ATOMONO,software,satoshi.hirata,63987e6af78d12c0f47112a9,,,Medium,Done,HibikiMizuno,62d6d768657fc166e26036e9,HibikiMizuno,62d6d768657fc166e26036e9,HibikiMizuno,62d6d768657fc166e26036e9,08/Oct/23 12:06 PM,10/Oct/23 10:05 PM,21/Dec/23 9:50 PM,10/Oct/23 10:05 PM,,0,,今までバックエンドにおいていたが、コードファーストからschemaファーストへの変更に伴い、フロントエンドに置くことにした。,,HibikiMizuno,,62d6d768657fc166e26036e9,,,,,,,,,,,,,,,,,,,,{},,,,,,,,,,0|i002qg:,,,,10/10まで,,,5.0,,,,,,,,10/Oct/23 5:33 AM;62d6d768657fc166e26036e9;あとはマージするだけ,,,,Done
所持品リスト追加画面用カード,AT-515,10537,Task,Done,AT,ATOMONO,software,satoshi.hirata,63987e6af78d12c0f47112a9,,,Medium,Done,Ohno Hiroto,712020:dd08bf27-e5e5-463e-aa50-9c3deb52bc14,Ohno Hiroto,712020:dd08bf27-e5e5-463e-aa50-9c3deb52bc14,Ohno Hiroto,712020:dd08bf27-e5e5-463e-aa50-9c3deb52bc14,08/Oct/23 4:20 PM,15/Oct/23 7:21 PM,21/Dec/23 9:50 PM,15/Oct/23 7:21 PM,,0,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,,,,0|i002v3:,,,,10/10まで,10/17まで,,3.0,,,,,,,,,,,,Done
プロジェクト計画書作成,AT-516,10538,Task,Done,AT,ATOMONO,software,satoshi.hirata,63987e6af78d12c0f47112a9,,,Medium,Done,鈴木真希,712020:0a83f6c8-7964-448e-bde0-fc65c55240bc,鈴木真希,712020:0a83f6c8-7964-448e-bde0-fc65c55240bc,鈴木真希,712020:0a83f6c8-7964-448e-bde0-fc65c55240bc,08/Oct/23 4:21 PM,15/Oct/23 7:21 PM,21/Dec/23 9:50 PM,15/Oct/23 7:21 PM,,0,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,,,,0|i002vb:,,,,10/10まで,10/17まで,,1.0,,,10/Oct/23 12:00 AM,,,,,,,,,Done
所持品リスト登録ボタン,AT-517,10539,Task,Done,AT,ATOMONO,software,satoshi.hirata,63987e6af78d12c0f47112a9,,,Medium,Done,鈴木真希,712020:0a83f6c8-7964-448e-bde0-fc65c55240bc,鈴木真希,712020:0a83f6c8-7964-448e-bde0-fc65c55240bc,鈴木真希,712020:0a83f6c8-7964-448e-bde0-fc65c55240bc,08/Oct/23 4:28 PM,13/Oct/23 2:23 AM,21/Dec/23 9:50 PM,13/Oct/23 2:23 AM,,0,Frontend,,,,,,,,,,,,,,,,,,,,,,,,,{},,AT-269,ユーザーが自分の所持品（愛用品）の情報をリストに保存できること【所持品リスト】,,,,,,,0|i002vj:,,HibikiMizuno,62d6d768657fc166e26036e9,10/10まで,10/17まで,,3.0,,,,,,,,,,10291,ユーザーが自分の所持品（愛用品）の情報をリストに保存できること【所持品リスト】,Done
UI: 所持品追加ボタン作成,AT-518,10540,Task,Done,AT,ATOMONO,software,satoshi.hirata,63987e6af78d12c0f47112a9,,,Medium,Done,Dai Miyahara,712020:018c35d4-6ec5-41ac-a897-9037924f51e7,Dai Miyahara,712020:018c35d4-6ec5-41ac-a897-9037924f51e7,Dai Miyahara,712020:018c35d4-6ec5-41ac-a897-9037924f51e7,09/Oct/23 9:49 AM,14/Oct/23 9:50 AM,21/Dec/23 9:50 PM,11/Oct/23 5:35 PM,,0,,,,Dai Miyahara,,712020:018c35d4-6ec5-41ac-a897-9037924f51e7,,,,,,,,,,,,,,,,,,,,{},,AT-269,ユーザーが自分の所持品（愛用品）の情報をリストに保存できること【所持品リスト】,,,,,,,0|i002tl:,,,,10/17まで,,,,,,,,,,,,,10291,ユーザーが自分の所持品（愛用品）の情報をリストに保存できること【所持品リスト】,Done
UI: 所持品追加モーダル用検索フォーム作成,AT-520,10542,Task,Done,AT,ATOMONO,software,satoshi.hirata,63987e6af78d12c0f47112a9,,,Medium,Done,Dai Miyahara,712020:018c35d4-6ec5-41ac-a897-9037924f51e7,Dai Miyahara,712020:018c35d4-6ec5-41ac-a897-9037924f51e7,Dai Miyahara,712020:018c35d4-6ec5-41ac-a897-9037924f51e7,09/Oct/23 11:01 AM,15/Oct/23 2:42 PM,21/Dec/23 9:50 PM,15/Oct/23 2:42 PM,,0,,,,Dai Miyahara,,712020:018c35d4-6ec5-41ac-a897-9037924f51e7,,,,,,,,,,,,,,,,,,,,{},,AT-269,ユーザーが自分の所持品（愛用品）の情報をリストに保存できること【所持品リスト】,,,,,,,0|i002ti:,,,,10/17まで,,,,,,,,,,,,,10291,ユーザーが自分の所持品（愛用品）の情報をリストに保存できること【所持品リスト】,Done
STUB: Swaggerはatomono-frontを正とするため、atomono-stubには置かず、atomono-frontを参照するように変更,AT-523,10545,Task,Done,AT,ATOMONO,software,satoshi.hirata,63987e6af78d12c0f47112a9,,,Medium,Done,HibikiMizuno,62d6d768657fc166e26036e9,HibikiMizuno,62d6d768657fc166e26036e9,HibikiMizuno,62d6d768657fc166e26036e9,10/Oct/23 1:13 PM,10/Oct/23 11:26 PM,21/Dec/23 9:50 PM,10/Oct/23 11:26 PM,,0,,[https://github.com/chubachi-pt-2023/atomono-stub/pull/14|https://github.com/chubachi-pt-2023/atomono-stub/pull/14|smart-link] ,,HibikiMizuno,,62d6d768657fc166e26036e9,,,,,,,,,,,,,,,,,,,,{},,,,,,,,,,0|i002wf:,,,,10/17まで,,,1.0,,,,,,,,,,,,Done
ページへ適用 (フッターメニュー・ヘッダー(検索formなし)),AT-524,10546,Task,Done,AT,ATOMONO,software,satoshi.hirata,63987e6af78d12c0f47112a9,,,Medium,Done,HibikiMizuno,62d6d768657fc166e26036e9,HibikiMizuno,62d6d768657fc166e26036e9,HibikiMizuno,62d6d768657fc166e26036e9,10/Oct/23 1:25 PM,10/Oct/23 10:05 PM,21/Dec/23 9:50 PM,10/Oct/23 10:05 PM,,0,Frontend,,,HibikiMizuno,,62d6d768657fc166e26036e9,,,,,,,,,,,,,,,,,,,,{},,AT-460,ユーザーがモバイル端末でアトモノを利用できること【レスポンシブ対応】,,,,purple,,,0|i002wn:,,,,10/10まで,,,5.0,,,,,,,,,,10482,ユーザーがモバイル端末でアトモノを利用できること【レスポンシブ対応】,Done
FE: モーダルのhooks作成,AT-525,10547,Task,Done,AT,ATOMONO,software,satoshi.hirata,63987e6af78d12c0f47112a9,,,Highest,Done,Kenta Nakayama,712020:5c9c58b6-2671-4bd8-8163-76419e5820db,HibikiMizuno,62d6d768657fc166e26036e9,HibikiMizuno,62d6d768657fc166e26036e9,10/Oct/23 9:23 PM,13/Oct/23 2:03 AM,21/Dec/23 9:50 PM,13/Oct/23 2:03 AM,,0,,"モーダルはtailwindで普通に実装してください。

モーダルを実装するに当たり、モーダル以外に2つやることがあります

h1. hooks

今回の場合は本当はいらないんですけど、せっかくなので用意しましょう。

シンプルなもので良いです。

h1. wrapperコンポーネント

{{'use client'}} なCSRのコンポーネントが必要です。このwrapperコンポーネント内でmodalの表示を出し分けるbuttonを設定すると良いです。



*_この内、このチケットではhooksを実装してください_*",,HibikiMizuno,,62d6d768657fc166e26036e9,,,,,,,,,,,,,,,,,,,,{},,AT-269,ユーザーが自分の所持品（愛用品）の情報をリストに保存できること【所持品リスト】,,,,purple,,,0|i002wv:,,,,10/17まで,,,1.0,,,,,,,,11/Oct/23 3:28 AM;62d6d768657fc166e26036e9;hooksはhooksディレクトリにおいてください,,10291,ユーザーが自分の所持品（愛用品）の情報をリストに保存できること【所持品リスト】,Done
外部設計変更：UIDはbearer tokenで受け渡しをする,AT-532,10554,Task,Done,AT,ATOMONO,software,satoshi.hirata,63987e6af78d12c0f47112a9,,,Medium,Done,HibikiMizuno,62d6d768657fc166e26036e9,HibikiMizuno,62d6d768657fc166e26036e9,HibikiMizuno,62d6d768657fc166e26036e9,13/Oct/23 11:30 AM,14/Oct/23 12:02 PM,21/Dec/23 9:50 PM,14/Oct/23 12:02 PM,,0,,"

[https://www.notion.so/4cedb93592284b51ab1114aadb7cbe35?pvs=4#b60236467c9b4d11aaa4b65bffb9e941|https://www.notion.so/4cedb93592284b51ab1114aadb7cbe35?pvs=4#b60236467c9b4d11aaa4b65bffb9e941|smart-link] ",,HibikiMizuno,,62d6d768657fc166e26036e9,,,,,,,,,,,,,,,,,,,,{},,AT-269,ユーザーが自分の所持品（愛用品）の情報をリストに保存できること【所持品リスト】,,,,,,,0|i002xz:,,,,10/17まで,,,1.0,,,,,,,,,,10291,ユーザーが自分の所持品（愛用品）の情報をリストに保存できること【所持品リスト】,Done
FE: bearer tokenを受け渡せるようにfetcherを修正,AT-533,10555,Task,Done,AT,ATOMONO,software,satoshi.hirata,63987e6af78d12c0f47112a9,,,Medium,Done,HibikiMizuno,62d6d768657fc166e26036e9,HibikiMizuno,62d6d768657fc166e26036e9,HibikiMizuno,62d6d768657fc166e26036e9,13/Oct/23 11:31 AM,14/Oct/23 12:02 PM,21/Dec/23 9:50 PM,14/Oct/23 12:02 PM,,0,Frontend,,,HibikiMizuno,,62d6d768657fc166e26036e9,,,,,,,,,,,,,,,,,,,,{},,AT-269,ユーザーが自分の所持品（愛用品）の情報をリストに保存できること【所持品リスト】,,,,,,,0|i002y7:,,,,10/17まで,,,3.0,,,,,,,,"14/Oct/23 11:13 AM;62d6d768657fc166e26036e9;[https://www.notion.so/4cedb93592284b51ab1114aadb7cbe35?pvs=4#d32cbce8281e41b6b850211b1e3f0aee|https://www.notion.so/4cedb93592284b51ab1114aadb7cbe35?pvs=4#d32cbce8281e41b6b850211b1e3f0aee|smart-link] 

[https://www.notion.so/4cedb93592284b51ab1114aadb7cbe35?pvs=4#b60236467c9b4d11aaa4b65bffb9e941|https://www.notion.so/4cedb93592284b51ab1114aadb7cbe35?pvs=4#b60236467c9b4d11aaa4b65bffb9e941]",14/Oct/23 11:53 AM;62d6d768657fc166e26036e9;[https://github.com/chubachi-pt-2023/atomono-front/pull/60|https://github.com/chubachi-pt-2023/atomono-front/pull/60],10291,ユーザーが自分の所持品（愛用品）の情報をリストに保存できること【所持品リスト】,Done
BE: pingまたは認証情報をPOST処理で送り専用トークンを返す挙動の検証,AT-534,10556,Task,To Do,AT,ATOMONO,software,satoshi.hirata,63987e6af78d12c0f47112a9,,,Medium,,satoshi.hirata,63987e6af78d12c0f47112a9,satoshi.hirata,63987e6af78d12c0f47112a9,satoshi.hirata,63987e6af78d12c0f47112a9,13/Oct/23 11:36 AM,13/Oct/23 11:37 AM,21/Dec/23 9:50 PM,,,0,,,,satoshi.hirata,,63987e6af78d12c0f47112a9,,,,,,,,,,,,,,,,,,,,{},,,,,,,,,,0|i002yf:,,,,,,,,,,,,,,,,,,,To Do
FE: headerが二重になっている問題,AT-536,10558,Bug,Done,AT,ATOMONO,software,satoshi.hirata,63987e6af78d12c0f47112a9,,,Medium,Done,HibikiMizuno,62d6d768657fc166e26036e9,HibikiMizuno,62d6d768657fc166e26036e9,HibikiMizuno,62d6d768657fc166e26036e9,14/Oct/23 9:50 AM,14/Oct/23 12:01 PM,21/Dec/23 9:50 PM,14/Oct/23 12:01 PM,,0,,PR: [https://github.com/chubachi-pt-2023/atomono-front/pull/61|https://github.com/chubachi-pt-2023/atomono-front/pull/61],,HibikiMizuno,,62d6d768657fc166e26036e9,,,,,,,,,,,,,,,,,,,,{},,,,,,,,,,0|i001za:9,,,,10/17まで,,,,,,,,,,,,,,,Done
border radiousが一部効かなくなっている,AT-539,10561,Bug,Done,AT,ATOMONO,software,satoshi.hirata,63987e6af78d12c0f47112a9,,,Medium,Done,HibikiMizuno,62d6d768657fc166e26036e9,HibikiMizuno,62d6d768657fc166e26036e9,HibikiMizuno,62d6d768657fc166e26036e9,14/Oct/23 10:37 AM,14/Oct/23 10:40 AM,21/Dec/23 9:50 PM,14/Oct/23 10:40 AM,,0,,tailwind.codfig.jsのborderRadiousのDEFAULTを設定していないからだ。,development,HibikiMizuno,,62d6d768657fc166e26036e9,,,,,,,,,,,,,,,,,,,,{},,,,,,,,,,0|i001za:4,,,,10/17まで,,,,,,,,,,,14/Oct/23 10:40 AM;62d6d768657fc166e26036e9;[https://github.com/chubachi-pt-2023/atomono-front/pull/59|https://github.com/chubachi-pt-2023/atomono-front/pull/59],,,,Done
